tweet,health_impact,sentiment,sentiment_value
carbon capture is reducing emissions and improving public health.,heart diseases,Positive,1.0
Deforestation is linked to higher heat strokes rates.,asthma,Negative,0.0
Transitioning to carbon capture improves biodiversity.,mental health issues,Positive,1.0
Rising temperatures are causing more malnutrition every year!,respiratory diseases,Negative,0.0
Deforestation is linked to higher mental health issues rates.,skin cancer,Negative,0.0
Fossil fuel emissions events are becoming more frequent due to urbanization.,skin cancer,Negative,0.0
Plastic pollution events are becoming more frequent due to urbanization.,heat strokes,Negative,0.0
global warming is leading to more severe malnutrition.,heart diseases,Negative,0.0
Fossil fuel emissions events are becoming more frequent due to climate change.,mental health issues,Negative,0.0
"The climate has always changed, nothing new.",asthma,Neutral,0.5
Rising temperatures are causing more vector-borne diseases every year!,eye diseases,Negative,0.0
"The climate has always changed, nothing new.",vector-borne diseases,Neutral,0.5
Rising sea levels is linked to higher mental health issues rates.,asthma,Negative,0.0
Rising temperatures are causing more respiratory diseases every year!,vector-borne diseases,Negative,0.0
Air pollution is linked to higher allergies rates.,heat strokes,Negative,0.0
Plastic pollution is increasing heat strokes.,asthma,Negative,0.0
renewable energy is reducing emissions and improving economic growth.,respiratory diseases,Positive,1.0
Ocean acidification is increasing vector-borne diseases.,eye diseases,Negative,0.0
Transitioning to carbon capture improves ecosystem stability.,heat strokes,Positive,1.0
sustainable farming is reducing emissions and improving public health.,mental health issues,Positive,1.0
Transitioning to electric vehicles improves biodiversity.,skin cancer,Positive,1.0
"Climate change is a myth, no need to worry.",mental health issues,Neutral,0.5
Extreme weather is linked to higher allergies rates.,malnutrition,Negative,0.0
Rising temperatures are causing more heart diseases every year!,heart diseases,Negative,0.0
"Extreme weather is worsening due to climate change, affecting malnutrition.",allergies,Negative,0.0
carbon capture is reducing emissions and improving air quality.,respiratory diseases,Positive,1.0
Transitioning to sustainable farming improves economic growth.,eye diseases,Positive,1.0
climate change is leading to more severe respiratory diseases.,vector-borne diseases,Negative,0.0
Land degradation events are becoming more frequent due to climate change.,vector-borne diseases,Negative,0.0
Rising temperatures are causing more allergies every year!,heat strokes,Negative,0.0
Transitioning to sustainable farming improves air quality.,allergies,Positive,1.0
Land degradation is increasing heart diseases.,mental health issues,Negative,0.0
"Melting glaciers is worsening due to climate change, affecting respiratory diseases.",mental health issues,Negative,0.0
Rising sea levels is linked to higher mental health issues rates.,eye diseases,Negative,0.0
Land degradation is increasing asthma.,skin cancer,Negative,0.0
Land degradation events are becoming more frequent due to human activities.,heart diseases,Negative,0.0
green buildings is reducing emissions and improving public health.,asthma,Positive,1.0
Fossil fuel emissions is increasing heat strokes.,malnutrition,Negative,0.0
"Climate change is a myth, no need to worry.",asthma,Neutral,0.5
"Extreme weather is worsening due to climate change, affecting eye diseases.",malnutrition,Negative,0.0
Transitioning to carbon capture improves biodiversity.,malnutrition,Positive,1.0
Switching to electric vehicles creates jobs and boosts the public health.,asthma,Positive,1.0
Rising temperatures are causing more asthma every year!,malnutrition,Negative,0.0
sustainable farming is reducing emissions and improving biodiversity.,eye diseases,Positive,1.0
Switching to renewable energy creates jobs and boosts the ecosystem stability.,vector-borne diseases,Positive,1.0
"Climate change is a myth, no need to worry.",respiratory diseases,Neutral,0.5
"Rising sea levels is worsening due to climate change, affecting skin cancer.",mental health issues,Negative,0.0
Switching to carbon capture creates jobs and boosts the economic growth.,eye diseases,Positive,1.0
sustainable farming is reducing emissions and improving biodiversity.,malnutrition,Positive,1.0
Transitioning to carbon capture improves air quality.,mental health issues,Positive,1.0
Fossil fuel emissions is increasing respiratory diseases.,allergies,Negative,0.0
global warming is leading to more severe vector-borne diseases.,vector-borne diseases,Negative,0.0
Land degradation events are becoming more frequent due to human activities.,heat strokes,Negative,0.0
Switching to electric vehicles creates jobs and boosts the biodiversity.,asthma,Positive,1.0
climate change is leading to more severe eye diseases.,mental health issues,Negative,0.0
renewable energy is reducing emissions and improving biodiversity.,heart diseases,Positive,1.0
"Climate change is a myth, no need to worry.",allergies,Neutral,0.5
Land degradation events are becoming more frequent due to climate change.,malnutrition,Negative,0.0
Rising temperatures are causing more skin cancer every year!,heart diseases,Negative,0.0
Transitioning to renewable energy improves biodiversity.,mental health issues,Positive,1.0
"Deforestation is worsening due to climate change, affecting allergies.",skin cancer,Negative,0.0
Plastic pollution events are becoming more frequent due to urbanization.,mental health issues,Negative,0.0
"Air pollution is worsening due to climate change, affecting skin cancer.",mental health issues,Negative,0.0
Switching to green buildings creates jobs and boosts the air quality.,vector-borne diseases,Positive,1.0
Switching to electric vehicles creates jobs and boosts the biodiversity.,vector-borne diseases,Positive,1.0
Deforestation is linked to higher eye diseases rates.,mental health issues,Negative,0.0
Plastic pollution events are becoming more frequent due to urbanization.,heart diseases,Negative,0.0
Transitioning to carbon capture improves air quality.,heat strokes,Positive,1.0
"Climate change is a myth, no need to worry.",respiratory diseases,Neutral,0.5
"Air pollution is worsening due to climate change, affecting eye diseases.",mental health issues,Negative,0.0
industrial pollution is leading to more severe asthma.,heat strokes,Negative,0.0
"Rising sea levels is worsening due to climate change, affecting vector-borne diseases.",heat strokes,Negative,0.0
"Extreme weather is worsening due to climate change, affecting asthma.",allergies,Negative,0.0
Extreme weather is linked to higher respiratory diseases rates.,eye diseases,Negative,0.0
Switching to carbon capture creates jobs and boosts the biodiversity.,skin cancer,Positive,1.0
Rising temperatures are causing more allergies every year!,vector-borne diseases,Negative,0.0
"Rising sea levels is worsening due to climate change, affecting respiratory diseases.",vector-borne diseases,Negative,0.0
"Climate change is a myth, no need to worry.",malnutrition,Neutral,0.5
Transitioning to carbon capture improves biodiversity.,vector-borne diseases,Positive,1.0
Land degradation events are becoming more frequent due to global warming.,heart diseases,Negative,0.0
industrial pollution is leading to more severe malnutrition.,vector-borne diseases,Negative,0.0
carbon capture is reducing emissions and improving economic growth.,heart diseases,Positive,1.0
Rising sea levels is linked to higher skin cancer rates.,heart diseases,Negative,0.0
"Air pollution is worsening due to climate change, affecting asthma.",eye diseases,Negative,0.0
electric vehicles is reducing emissions and improving ecosystem stability.,vector-borne diseases,Positive,1.0
Switching to sustainable farming creates jobs and boosts the ecosystem stability.,eye diseases,Positive,1.0
"The climate has always changed, nothing new.",malnutrition,Neutral,0.5
Plastic pollution is increasing eye diseases.,mental health issues,Negative,0.0
Switching to sustainable farming creates jobs and boosts the public health.,eye diseases,Positive,1.0
"Climate change is a myth, no need to worry.",mental health issues,Neutral,0.5
"Deforestation is worsening due to climate change, affecting skin cancer.",malnutrition,Negative,0.0
industrial pollution is leading to more severe eye diseases.,respiratory diseases,Negative,0.0
"Climate change is a myth, no need to worry.",heart diseases,Neutral,0.5
Overfishing is increasing heat strokes.,eye diseases,Negative,0.0
sustainable farming is reducing emissions and improving ecosystem stability.,respiratory diseases,Positive,1.0
industrial pollution is leading to more severe asthma.,skin cancer,Negative,0.0
"Climate change is a myth, no need to worry.",vector-borne diseases,Neutral,0.5
Deforestation is linked to higher vector-borne diseases rates.,heat strokes,Negative,0.0
Plastic pollution events are becoming more frequent due to global warming.,skin cancer,Negative,0.0
human activities is leading to more severe mental health issues.,heat strokes,Negative,0.0
Rising temperatures are causing more heart diseases every year!,eye diseases,Negative,0.0
Rising temperatures are causing more heart diseases every year!,asthma,Negative,0.0
Switching to sustainable farming creates jobs and boosts the public health.,skin cancer,Positive,1.0
"Rising sea levels is worsening due to climate change, affecting respiratory diseases.",mental health issues,Negative,0.0
Overfishing events are becoming more frequent due to climate change.,mental health issues,Negative,0.0
Air pollution is linked to higher asthma rates.,asthma,Negative,0.0
Switching to sustainable farming creates jobs and boosts the biodiversity.,vector-borne diseases,Positive,1.0
industrial pollution is leading to more severe respiratory diseases.,heat strokes,Negative,0.0
Fossil fuel emissions is increasing vector-borne diseases.,allergies,Negative,0.0
"Deforestation is worsening due to climate change, affecting skin cancer.",mental health issues,Negative,0.0
Ocean acidification is increasing heart diseases.,skin cancer,Negative,0.0
Switching to sustainable farming creates jobs and boosts the ecosystem stability.,malnutrition,Positive,1.0
Transitioning to renewable energy improves economic growth.,vector-borne diseases,Positive,1.0
Extreme weather is linked to higher respiratory diseases rates.,heart diseases,Negative,0.0
Air pollution is linked to higher mental health issues rates.,eye diseases,Negative,0.0
"Melting glaciers is worsening due to climate change, affecting respiratory diseases.",respiratory diseases,Negative,0.0
Melting glaciers is linked to higher heart diseases rates.,malnutrition,Negative,0.0
Plastic pollution is increasing skin cancer.,malnutrition,Negative,0.0
Extreme weather is linked to higher heat strokes rates.,vector-borne diseases,Negative,0.0
Rising temperatures are causing more heat strokes every year!,skin cancer,Negative,0.0
industrial pollution is leading to more severe heart diseases.,heat strokes,Negative,0.0
Extreme weather is linked to higher heat strokes rates.,vector-borne diseases,Negative,0.0
sustainable farming is reducing emissions and improving economic growth.,allergies,Positive,1.0
Transitioning to sustainable farming improves air quality.,malnutrition,Positive,1.0
Switching to sustainable farming creates jobs and boosts the ecosystem stability.,eye diseases,Positive,1.0
Melting glaciers is linked to higher respiratory diseases rates.,mental health issues,Negative,0.0
urbanization is leading to more severe heart diseases.,respiratory diseases,Negative,0.0
Plastic pollution events are becoming more frequent due to climate change.,mental health issues,Negative,0.0
"Climate change is a myth, no need to worry.",skin cancer,Neutral,0.5
Switching to renewable energy creates jobs and boosts the air quality.,malnutrition,Positive,1.0
renewable energy is reducing emissions and improving public health.,heat strokes,Positive,1.0
Extreme weather is linked to higher heart diseases rates.,asthma,Negative,0.0
"Climate change is a myth, no need to worry.",respiratory diseases,Neutral,0.5
Rising temperatures are causing more respiratory diseases every year!,respiratory diseases,Negative,0.0
Rising temperatures are causing more malnutrition every year!,respiratory diseases,Negative,0.0
Fossil fuel emissions events are becoming more frequent due to human activities.,respiratory diseases,Negative,0.0
Switching to green buildings creates jobs and boosts the ecosystem stability.,asthma,Positive,1.0
"Climate change is a myth, no need to worry.",vector-borne diseases,Neutral,0.5
industrial pollution is leading to more severe allergies.,heart diseases,Negative,0.0
"Air pollution is worsening due to climate change, affecting allergies.",allergies,Negative,0.0
Switching to electric vehicles creates jobs and boosts the economic growth.,asthma,Positive,1.0
Ocean acidification events are becoming more frequent due to industrial pollution.,allergies,Negative,0.0
Deforestation is linked to higher vector-borne diseases rates.,mental health issues,Negative,0.0
Land degradation is increasing mental health issues.,malnutrition,Negative,0.0
Rising temperatures are causing more asthma every year!,asthma,Negative,0.0
Rising temperatures are causing more eye diseases every year!,vector-borne diseases,Negative,0.0
"Deforestation is worsening due to climate change, affecting heat strokes.",allergies,Negative,0.0
Rising temperatures are causing more heart diseases every year!,allergies,Negative,0.0
global warming is leading to more severe heart diseases.,heart diseases,Negative,0.0
Transitioning to carbon capture improves ecosystem stability.,mental health issues,Positive,1.0
Overfishing events are becoming more frequent due to global warming.,respiratory diseases,Negative,0.0
"Air pollution is worsening due to climate change, affecting heat strokes.",asthma,Negative,0.0
Melting glaciers is linked to higher malnutrition rates.,allergies,Negative,0.0
Rising temperatures are causing more eye diseases every year!,malnutrition,Negative,0.0
Plastic pollution events are becoming more frequent due to human activities.,allergies,Negative,0.0
"Extreme weather is worsening due to climate change, affecting respiratory diseases.",allergies,Negative,0.0
renewable energy is reducing emissions and improving biodiversity.,mental health issues,Positive,1.0
Land degradation events are becoming more frequent due to global warming.,eye diseases,Negative,0.0
carbon capture is reducing emissions and improving ecosystem stability.,malnutrition,Positive,1.0
Rising temperatures are causing more mental health issues every year!,heat strokes,Negative,0.0
"Melting glaciers is worsening due to climate change, affecting respiratory diseases.",vector-borne diseases,Negative,0.0
Deforestation is linked to higher eye diseases rates.,malnutrition,Negative,0.0
"Melting glaciers is worsening due to climate change, affecting vector-borne diseases.",vector-borne diseases,Negative,0.0
Melting glaciers is linked to higher mental health issues rates.,mental health issues,Negative,0.0
Extreme weather is linked to higher heart diseases rates.,mental health issues,Negative,0.0
Switching to green buildings creates jobs and boosts the air quality.,respiratory diseases,Positive,1.0
Air pollution is linked to higher vector-borne diseases rates.,vector-borne diseases,Negative,0.0
"Rising sea levels is worsening due to climate change, affecting heat strokes.",allergies,Negative,0.0
global warming is leading to more severe mental health issues.,respiratory diseases,Negative,0.0
Switching to electric vehicles creates jobs and boosts the public health.,skin cancer,Positive,1.0
electric vehicles is reducing emissions and improving economic growth.,malnutrition,Positive,1.0
sustainable farming is reducing emissions and improving air quality.,malnutrition,Positive,1.0
Rising sea levels is linked to higher vector-borne diseases rates.,heat strokes,Negative,0.0
industrial pollution is leading to more severe eye diseases.,malnutrition,Negative,0.0
industrial pollution is leading to more severe allergies.,skin cancer,Negative,0.0
"Extreme weather is worsening due to climate change, affecting heat strokes.",malnutrition,Negative,0.0
Rising temperatures are causing more heart diseases every year!,allergies,Negative,0.0
"The climate has always changed, nothing new.",heat strokes,Neutral,0.5
green buildings is reducing emissions and improving ecosystem stability.,heart diseases,Positive,1.0
climate change is leading to more severe heat strokes.,heat strokes,Negative,0.0
Switching to electric vehicles creates jobs and boosts the public health.,vector-borne diseases,Positive,1.0
Rising temperatures are causing more skin cancer every year!,skin cancer,Negative,0.0
urbanization is leading to more severe heart diseases.,malnutrition,Negative,0.0
Overfishing is increasing skin cancer.,respiratory diseases,Negative,0.0
Fossil fuel emissions is increasing malnutrition.,eye diseases,Negative,0.0
Deforestation is linked to higher mental health issues rates.,heart diseases,Negative,0.0
renewable energy is reducing emissions and improving biodiversity.,heat strokes,Positive,1.0
Melting glaciers is linked to higher asthma rates.,mental health issues,Negative,0.0
Fossil fuel emissions events are becoming more frequent due to industrial pollution.,heart diseases,Negative,0.0
Switching to green buildings creates jobs and boosts the public health.,skin cancer,Positive,1.0
Extreme weather is linked to higher vector-borne diseases rates.,heat strokes,Negative,0.0
Plastic pollution is increasing respiratory diseases.,vector-borne diseases,Negative,0.0
Switching to electric vehicles creates jobs and boosts the air quality.,skin cancer,Positive,1.0
Land degradation events are becoming more frequent due to industrial pollution.,heat strokes,Negative,0.0
human activities is leading to more severe eye diseases.,mental health issues,Negative,0.0
human activities is leading to more severe eye diseases.,skin cancer,Negative,0.0
Rising temperatures are causing more skin cancer every year!,malnutrition,Negative,0.0
urbanization is leading to more severe allergies.,malnutrition,Negative,0.0
Switching to carbon capture creates jobs and boosts the biodiversity.,skin cancer,Positive,1.0
industrial pollution is leading to more severe malnutrition.,vector-borne diseases,Negative,0.0
Air pollution is linked to higher eye diseases rates.,malnutrition,Negative,0.0
Melting glaciers is linked to higher heart diseases rates.,heat strokes,Negative,0.0
Overfishing events are becoming more frequent due to climate change.,skin cancer,Negative,0.0
Transitioning to green buildings improves biodiversity.,skin cancer,Positive,1.0
Transitioning to green buildings improves biodiversity.,respiratory diseases,Positive,1.0
Switching to renewable energy creates jobs and boosts the air quality.,skin cancer,Positive,1.0
urbanization is leading to more severe heat strokes.,allergies,Negative,0.0
Plastic pollution events are becoming more frequent due to urbanization.,vector-borne diseases,Negative,0.0
Fossil fuel emissions is increasing malnutrition.,malnutrition,Negative,0.0
electric vehicles is reducing emissions and improving air quality.,heat strokes,Positive,1.0
